,image_url,price,product_name,product_url,review_count,source_product_id,star_rating
0,https://m.media-amazon.com/images/I/71u5x5hyJNL._AC_UL436_.jpg,$158.99,Samsung Galaxy S7 G930A 32GB Black Onyx - Unlocked GSM (Renewed),https://www.amazon.com/Samsung-Galaxy-G930A-32GB-Black/dp/B01F482BTK/ref=sr_1_25?qid=1557909300&s=mobile&sr=1-25,                                        666                                ,B01F482BTK,3.4 out of 5 stars
1,https://m.media-amazon.com/images/I/81s7ZLOGOWL._AC_UL436_.jpg,$189.99,"Apple iPhone 6S, Fully Unlocked, 64GB - Space Gray (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B06XR8G1TX/ref=sr_1_26?qid=1557909300&s=mobile&sr=1-26,                                        521                                ,B06XR8G1TX,3.5 out of 5 stars
2,https://m.media-amazon.com/images/I/41jUosGQiDL._AC_UL436_.jpg,$149.99,"Apple iPhone 6S, GSM Unlocked, 16GB - Rose Gold (Renewed)",https://www.amazon.com/Apple-iPhone-6S-Unlocked-16GB/dp/B01J8PBEUM/ref=sr_1_27?qid=1557909300&s=mobile&sr=1-27,                                        817                                ,B01J8PBEUM,3.9 out of 5 stars
3,https://m.media-amazon.com/images/I/81O0Tu14ceL._AC_UL436_.jpg,$129.99,"Apple iPhone 6 16 GB Unlocked, Gold (Refurbished)",https://www.amazon.com/Apple-iPhone-Unlocked-Certified-Refurbished/dp/B01BI2XQ5O/ref=sr_1_28?qid=1557909300&s=mobile&sr=1-28,                                        312                                ,B01BI2XQ5O,3.3 out of 5 stars
4,https://m.media-amazon.com/images/I/71p+nb8nEeL._AC_UL436_.jpg,$18.88,Tracfone Alcatel MyFlip 4G Prepaid Flip Phone,https://www.amazon.com/Tracfone-Alcatel-MyFlip-Prepaid-Phone/dp/B07GBRB55Z/ref=sr_1_29?qid=1557909300&s=mobile&sr=1-29,                                        87                                ,B07GBRB55Z,3.5 out of 5 stars
5,https://m.media-amazon.com/images/I/81o50fc16kL._AC_UL436_.jpg,$132.98,"Google Pixel GSM Unlocked (Renewed) (32GB, Gray)",https://www.amazon.com/Google-Pixel-Unlocked-Certified-Refurbished/dp/B072N3GKSM/ref=sr_1_30?qid=1557909300&s=mobile&sr=1-30,                                        733                                ,B072N3GKSM,3.4 out of 5 stars
6,https://m.media-amazon.com/images/I/719knfTwPvL._AC_UL436_.jpg,$659.99,"Apple iPhone X, Fully Unlocked, 64GB - Space Gray (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B077578W38/ref=sr_1_31?qid=1557909300&s=mobile&sr=1-31,                                        130                                ,B077578W38,4.0 out of 5 stars
7,https://m.media-amazon.com/images/I/41KOSseOOdL._AC_UL436_.jpg,$373.98,Samsung Galaxy S9 Unlocked - 64gb - Midnight Black - US Warranty (Renewed),https://www.amazon.com/Samsung-Galaxy-Unlocked-Certified-Refurbished/dp/B07C65XFBB/ref=sr_1_32?qid=1557909300&s=mobile&sr=1-32,                                        293                                ,B07C65XFBB,3.8 out of 5 stars
8,https://m.media-amazon.com/images/I/61pRPj+-IYL._AC_UL436_.jpg,$379.75,"Apple iPhone 8, Fully Unlocked, 64GB - Gold (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B0775717ZP/ref=sr_1_33?qid=1557909300&s=mobile&sr=1-33,                                        177                                ,B0775717ZP,3.9 out of 5 stars
9,https://m.media-amazon.com/images/I/41+BKn-Pv1L._AC_UL436_.jpg,$307.95,"Huawei P30 Lite (128GB, 4GB RAM) 6.15"" Display, AI Triple Camera, 32MP Selfie, Dual SIM Global 4G LTE GSM Factory Unlocked MAR-LX3A - International Version (Midnight Black)",https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/dp/B07PXSNRYY/ref=sr_1_34?qid=1557909300&s=mobile&sr=1-34,                                        22                                ,B07PXSNRYY,4.2 out of 5 stars
10,https://m.media-amazon.com/images/I/61mG8UT79zL._AC_UL436_.jpg,$163.49,"Xiaomi Mi A2 64GB + 4GB RAM, Dual Camera, LTE AndroidOne Smartphone - International Global Version (Black)",https://www.amazon.com/Xiaomi-64GB-Camera-AndroidOne-Smartphone/dp/B07FMPVBQR/ref=sr_1_35?qid=1557909300&s=mobile&sr=1-35,                                        135                                ,B07FMPVBQR,4.1 out of 5 stars
11,https://m.media-amazon.com/images/I/71Ly8dZuEAL._AC_UL436_.jpg,$285.00,"Samsung Galaxy A50 SM-A505G 64GB 4GB RAM 25 MP 6.4"" Factory Unlocked- Black",https://www.amazon.com/Samsung-A50-SM-A505G-Factory-Unlocked/dp/B07PV68K73/ref=sr_1_36?qid=1557909300&s=mobile&sr=1-36,                                        41                                ,B07PV68K73,4.3 out of 5 stars
